"ID";"Timestamp";"Q2_1";"Q2_2";"Q2_3";"Q3_1";"Q4_1";"Q4_2_1";"Q4_2_2";"Q4_2_3";"Q4_2_4";"Q5_1";"Q5_2";"Q5_4";"Q5_5";"Q5_6";"Q5_7_1";"Q5_7_2";"Q5_7_3";"Q5_7_4";"Q5_7_5";"Q5_7_6";"Q5_7_7";"Q5_7_8";"Q5_7_9";"Q5_7_10";"Q6_1_1";"Q6_1_2";"Q6_1_3";"Q6_1_4";"Q6_1_5";"Q6_3";"Q6_4";"Q6_5";"Q7_1";"Q7_2";"Q7_3";"Q7_4";"Q7_5";"Q7_6";"Q7_7";"Q7_9";"Q7_10";"Q8_1";"Q9_1_1";"Q9_1_2";"Q9_1_3";"Q9_1_4";"Q9_1_5";"Q9_1_6"
30;2018-02-03 16:03:17;"female";26;3;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"a few";"No";"I usually watched lecture recordings completely.";"Yes";"a few";TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;4;5;4;4;4;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
31;2018-02-03 17:07:16;"female";23;1;"Yes, parallel to the lectures.";"Yes";FALSE;TRUE;FALSE;FALSE;"almost all";"Yes";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;5;4;4;3;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
32;2018-02-03 17:32:35;"female";23;1;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"most";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;4;4;5;3;"Yes";"OS X 10.11: El Capitan";"Safari";"eher zufrieden";NA;NA;NA;NA;NA;NA
33;2018-02-03 18:23:11;"male";23;1;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"a few";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";4;2;5;2;3;4;"Yes";"Windows 10";"Google Chrome / Chromium";"neutral";NA;NA;NA;NA;NA;NA
34;2018-02-03 19:19:18;"female";26;3;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"almost all";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";4;4;5;4;4;4;"Yes";"Windows 10";"Firefox";"eher zufrieden";NA;NA;NA;NA;NA;NA
35;2018-02-03 20:57:36;"male";24;7;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"a few";"No";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;5;5;4;3;"No";NA;NA;"neutral";NA;NA;NA;NA;NA;NA
36;2018-02-04 11:48:50;"male";24;3;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"no answer";"No";"I usually watched lecture recordings completely.";"Yes";"a few";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";4;4;5;4;4;5;"Yes";"Windows 10";"Firefox";"eher zufrieden";NA;NA;NA;NA;NA;NA
37;2018-02-04 18:35:31;"male";23;2;"Yes, parallel to the lectures.";"Yes";FALSE;TRUE;FALSE;FALSE;"a few";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;FALSE;"mostly alone";"at home";"Computer";5;5;5;4;4;5;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
38;2018-02-04 20:21:39;"female";25;1;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"almost all";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Computer";5;5;5;5;3;4;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
39;2018-02-05 14:11:50;"female";25;3;"Yes, parallel to the lectures.";"Yes";TRUE;TRUE;FALSE;FALSE;"almost all";"No";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";4;5;5;3;5;5;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
